caption,account_name,view_count,source_url,video_url,platform,likes_count,comments_count,timestamp,product_category,product_name,transcript,intended_age_category,intended_spending_category,share_count,video_duration,music_name
"MERC GLE 400d 2020
Ugx 480m. 📞0705298524
#ugandancardealer #luxurycars #tiktokuganda #mercedes ",lemax__autos,1900000,https://www.tiktok.com/@lemax__autos/video/7384675182536903941,https://www.tiktok.com/@lemax__autos/video/7384675182536903941,TikTok,92700,1197,,,,,,,4575.0,61.0,original sound
"Executive lounge Toyota Alphard 2020
195m Ugx. 📞0705298524",lemax__autos,628600,https://www.tiktok.com/@lemax__autos/video/7475987439119518982,https://www.tiktok.com/@lemax__autos/video/7475987439119518982,TikTok,32500,225,,,,,,,1505.0,54.0,Ekyange
"Toyota chr hybrid 2017
85m ugx. 📞0705298524",lemax__autos,539900,https://www.tiktok.com/@lemax__autos/video/7392870309004627206,https://www.tiktok.com/@lemax__autos/video/7392870309004627206,TikTok,31400,595,,,,,,,2449.0,98.0,original sound
"Landcruiser 79 series 2021
4.5ltr diesel
📞0705298524",lemax__autos,474300,https://www.tiktok.com/@lemax__autos/video/7402577296806186246,https://www.tiktok.com/@lemax__autos/video/7402577296806186246,TikTok,28700,664,,,,,,,939.0,203.0,original sound
"Defender 110
Ugx 160million
📞0705298524",lemax__autos,443700,https://www.tiktok.com/@lemax__autos/video/7436421265470033208,https://www.tiktok.com/@lemax__autos/video/7436421265470033208,TikTok,26300,1185,,,,,,,1209.0,107.0,original sound
"Bmw i3 eletric 2016
Ugx 70m. 📞0705298524
#ugandancardealer #fyp #luxurycars #bmw #electric ",lemax__autos,421400,https://www.tiktok.com/@lemax__autos/video/7392489717381598469,https://www.tiktok.com/@lemax__autos/video/7392489717381598469,TikTok,5325,224,,,,,,,270.0,150.0,original sound
"Ugx 230m. Tesla model y 2023
0705298524 
#tesla #lemaxautos #tiktokuganda🇺🇬🇺🇬🇺🇬 ",lemax__autos,391300,https://www.tiktok.com/@lemax__autos/video/7496748211198053637,https://www.tiktok.com/@lemax__autos/video/7496748211198053637,TikTok,34600,1335,,,,,,,3599.0,366.0,original sound
"Toyota hilux 2.8. Diesel 2024
📞0705298524
#ugandancardealer #luxurycars #tiktokuganda #toyota #hilux #4wd ",lemax__autos,361000,https://www.tiktok.com/@lemax__autos/video/7397826453418659077,https://www.tiktok.com/@lemax__autos/video/7397826453418659077,TikTok,15100,473,,,,,,,909.0,148.0,original sound
"Godzilla @DON CHRIS official💜 
For all your car needs, 📞0705298524",lemax__autos,346100,https://www.tiktok.com/@lemax__autos/video/7486736760139959557,https://www.tiktok.com/@lemax__autos/video/7486736760139959557,TikTok,30700,957,,,,,,,1370.0,274.0,original sound
"RR sport p400 AUTOBIOGRAPHY 2023
📞0705298524
#ugandatiktok #cardealership #rangerover ",lemax__autos,326300,https://www.tiktok.com/@lemax__autos/video/7382621594440453382,https://www.tiktok.com/@lemax__autos/video/7382621594440453382,TikTok,23100,425,,,,,,,712.0,183.0,original sound
"Gle400d coupe 2020
Ugx 500million. 📞0705298524
#fyp #ugandancardealer #luxurycars #mercedesbenz #viral ",lemax__autos,320000,https://www.tiktok.com/@lemax__autos/video/7385940271399226629,https://www.tiktok.com/@lemax__autos/video/7385940271399226629,TikTok,18300,141,,,,,,,842.0,46.0,Hoozambe DStar X Mudra D Viral
"Merc gle400d 4matic 2020
Ugx 450m. 📞0705298524
#ugandancardealer #luxurycars #tiktokuganda #mercedes #gle ",lemax__autos,311600,https://www.tiktok.com/@lemax__autos/video/7410319145629224197,https://www.tiktok.com/@lemax__autos/video/7410319145629224197,TikTok,19700,379,,,,,,,1020.0,208.0,original sound
"#lemaxautos
📞0705298524",lemax__autos,302700,https://www.tiktok.com/@lemax__autos/video/7441601448237894968,https://www.tiktok.com/@lemax__autos/video/7441601448237894968,TikTok,19000,614,,,,,,,1781.0,51.0,original sound
"Mercedez gle35d 2017
Ugx 235m.  📞0705298524
#ugandancardealer #mercedesbenz #luxurycars #fyp ",lemax__autos,299400,https://www.tiktok.com/@lemax__autos/video/7394846365085453574,https://www.tiktok.com/@lemax__autos/video/7394846365085453574,TikTok,19400,955,,,,,,,1401.0,79.0,UNSTOPPABLE EVENING
"Merc s560 Maybach 2018
4.0 v8 petrol. Ugx 380m. 
📞0705298524. #ugandancardealer #luxurycars #tiktokuganda #mercedes #maybach #luxury ",lemax__autos,287600,https://www.tiktok.com/@lemax__autos/video/7412900205114264838,https://www.tiktok.com/@lemax__autos/video/7412900205114264838,TikTok,15000,473,,,,,,,737.0,215.0,original sound
"Just in!
Vogue 2023 autobiography 4.4ltr 

📞0705298524
#cardealership #carsales #ugandancardealer #uganda #rangerover #luxurycars ",lemax__autos,256000,https://www.tiktok.com/@lemax__autos/video/7207682778308103429,https://www.tiktok.com/@lemax__autos/video/7207682778308103429,TikTok,12300,88,,,,,,,283.0,25.0,original sound
"Mercedez e400 4matic 2016
Ugx 145m. 📞0705298524
#ugandancardealer #mercedesbenz #fyp #viral ",lemax__autos,251900,https://www.tiktok.com/@lemax__autos/video/7393620363273374981,https://www.tiktok.com/@lemax__autos/video/7393620363273374981,TikTok,15900,496,,,,,,,335.0,113.0,original sound
"A quick tour of the g class 2018
📞0705298524. For all your exotic car needs
#ugandancardealer #luxurycars #mercedes #gclass ",lemax__autos,241300,https://www.tiktok.com/@lemax__autos/video/7295355402118515974,https://www.tiktok.com/@lemax__autos/video/7295355402118515974,TikTok,12300,237,,,,,,,317.0,150.0,original sound
"Gle350d 2015. With gle43 amg kit 
📞0705298524. Ugx 170m
#ugandancardealer #luxurycars #tiktokuganda #mercedes ",lemax__autos,240800,https://www.tiktok.com/@lemax__autos/video/7399668258732985606,https://www.tiktok.com/@lemax__autos/video/7399668258732985606,TikTok,12200,293,,,,,,,526.0,103.0,original sound
"Lx600 Petrol 2023
With optional captain seats
📞0705298524. #ugandancardealer #luxurycars #tiktokuganda #lexus ",lemax__autos,236000,https://www.tiktok.com/@lemax__autos/video/7373615658501852422,https://www.tiktok.com/@lemax__autos/video/7373615658501852422,TikTok,15400,116,,,,,,,1057.0,52.0,original sound
"Replying to @SUCCESOR 
Available at 450m ugx 
📞0705298524
#ugandancardealer #luxurycars #tiktokuganda #tiktokuganda #bmw #bmwmotorsport ",lemax__autos,234800,https://www.tiktok.com/@lemax__autos/video/7381748572917615877,https://www.tiktok.com/@lemax__autos/video/7381748572917615877,TikTok,16800,318,,,,,,,677.0,261.0,original sound
"TIGUAN 2016 petrol 
📞0705298524",lemax__autos,231000,https://www.tiktok.com/@lemax__autos/video/7483557382161730821,https://www.tiktok.com/@lemax__autos/video/7483557382161730821,TikTok,12400,148,,,,,,,573.0,40.0,Me too
"Vw golf tsi 1.2ltr 2015
📞0705298524",lemax__autos,220100,https://www.tiktok.com/@lemax__autos/video/7393253461539818758,https://www.tiktok.com/@lemax__autos/video/7393253461539818758,TikTok,11100,300,,,,,,,330.0,50.0,original sound
