caption,account_name,view_count,source_url,video_url,platform,likes_count,comments_count,timestamp,product_category,product_name,transcript,intended_age_category,intended_spending_category,share_count,video_duration,music_name
KYD’s Trash or Gold Episode 38,kydyuzhini,70225673,https://www.instagram.com/p/DBHps-qRz0a/,https://scontent-lga3-1.cdninstagram.com/o1/v/t16/f2/m86/AQP7_jvyxD7r_l7jfBiRYgtW-Rdid-no7itQb6zILyo4rUwNV5DX2jYvz29FFkv_wn3nlU3Ih60kC2mrT6kbDM642LGbL3wXlmmDZII.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=111&vs=1181283002940125_2293096013&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9GMzQ5MUQ0RThEQTQyQ0I0MTlBM0U2MDk5NDUwQzlBQ192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRmFMbkJ0bHM4WEhDaVFEQUpZZzBnT2daTVJ6YnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJv78rr2R%2FItAFQIoAkMzLBdASBEGJN0vGxgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=d338093e2d&ccb=9-4&oh=00_AfeCtEk45kI7JHf795dEFE-ZbfrtgnTj_9QuFrNRFW1gHA&oe=6901413E&_nc_sid=10d13b,Instagram,3899988,12223,2024-10-14T21:25:00.000Z,,,,,,,,
Going bankrupt soon💀 #toys,kydyuzhini,57462970,https://www.instagram.com/p/C_XiCupRWwk/,https://scontent-lga3-2.cdninstagram.com/o1/v/t16/f2/m86/AQM28QprrKPAeg2tyPvoZQR1SRMjBzFKELY7lWhA5FImyA1Cj0s2uv9EuO4Y_TaQXElu2fukjXYg5xz1LNmS9E4XcufZDqyP7yW4sMA.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=107&vs=3857367654585797_836482346&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC85NDQwNkE3QkQ4NDhGMENDNzM5RUVDNzVCRTU2MEFCOV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQm4wUUJ0MDFpc00yVUVFQUEtQUVWdVNCeHdxYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJtLU%2FeSumIdAFQIoAkMzLBdAREAAAAAAABgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=ad3a8c7cf0&ccb=9-4&oh=00_AfermqV2divXRMJIGkcjJnhbFJ6_LW7OIXiBG9h0Fke7cg&oe=69012528&_nc_sid=10d13b,Instagram,2999645,8339,2024-09-01T08:27:08.000Z,,,,,,,,
KYD’s Trash or Gold Episode 56,kydyuzhini,51170422,https://www.instagram.com/p/DCHca07xQfv/,https://scontent-mia3-3.cdninstagram.com/o1/v/t16/f2/m86/AQNUnpsn9wj-3G8rV9wi9x9cBgcZQPPDRVt06Xs_lUEHcDfVw5zrNIFpW1elLmCLvrHUPtPQMruNv2hizGnEw72NPhxG7k-5rm1zs8Q.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=110&vs=1255027865917381_1244766833&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8yQzRGREMyMkYyNTczMkI3ODk2RDkwQjc0M0YzNDJCRl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTTBTeEJ0UXdnZHJmWFlFQUFjT0kxU1luLTBaYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJrD4kZyBjOU%2FFQIoAkMzLBdATREGJN0vGxgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=a67161a38c&ccb=9-4&oh=00_Aff4YJWemnBMkoHe_tbspore41CVlxih0vaot7XW5ZEkfg&oe=69015090&_nc_sid=10d13b,Instagram,3136554,19578,2024-11-08T16:00:00.000Z,,,,,,,,
KYD’s Trash or Gold Episode 25,kydyuzhini,41070260,https://www.instagram.com/p/DAXTw84Mvlu/,https://scontent-ord5-3.cdninstagram.com/o1/v/t16/f2/m86/AQPVi-iiX9iEtn39VdDfAD45mnf80UqeLDajQ1uiqW0zeA2l9ksXgUJcb5S3KaHlCniXODBxs_be6Q8dMDvYjrJGmwcU-IPq4Fe8ZLE.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=109&vs=8116067138504691_2600988819&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC80RDQ4Q0U2NTY2QjlBNzA2MUQzNDJBNTMzRTY4OTVCQV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTnhyZkJzT1dnOWNDT0lEQU1HM0VkaDRVY3N1YnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJobFvu%2BjsdY%2FFQIoAkMzLBdAQvdsi0OVgRgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=68da62094e&ccb=9-4&oh=00_Afe1HUU4Q5GTTrtXm2PszmFFa95V6-kNYzGBJwjPu43zRQ&oe=69013884&_nc_sid=10d13b,Instagram,2853001,11771,2024-09-26T03:18:30.000Z,,,,,,,,
KYD’s Trash or Gold Episode 148 #loonapetbot #loonarobot,kydyuzhini,39342343,https://www.instagram.com/p/DH6Hfbixm5X/,https://instagram.fftk1-1.fna.fbcdn.net/o1/v/t16/f2/m86/AQNdMz_TdiWVMEWsF8n4-BeIa5itYtIEsZkOrrSY5W-0Q_PFDJaCLtT0viya5RxgUexgTMHORL0ome2chCiVzWb6Y_0bA2LFz_eeccU.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=102&vs=681220877681075_947633136&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8wNzQ1RjRFQzMyMTY1ODA3MTY1RDMyRUI1M0YzNTA4NF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSjAwRVIwZ1hHWmtWeG9HQUl3eHJlUDd6ZzRSYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJpqg2tTX651AFQIoAkMzLBdAU%2B7peNT99BgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=232df88a41&ccb=9-4&oh=00_Afe-aL_bazNy6L3pP-fgqaUpdk4AuaOEIQ_5edc00QnAdA&oe=690134EC&_nc_sid=10d13b,Instagram,4444854,14027,2025-04-01T14:55:00.000Z,,,,,,,,
KYD’s Trash or Gold Episode 40 #kyd #kydstrashorgold,kydyuzhini,38637864,https://www.instagram.com/p/DBMzTMIRw7_/,https://scontent-mia5-1.cdninstagram.com/o1/v/t16/f2/m86/AQNqqRyDVR6mLwC8c8lHo3aYYtF3-bA1ZHq8VjXG4_ESC60jnlzGpJaxABcvJ5PnUathKOIgpINypiKUF_29v0RsLJuNnMgw_VWM8Rw.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=104&vs=1080489543632256_1845955967&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC83ODQwQUFEODM3NzQxMzRBOUVBNDQ0QUU4MTA3RTA4MF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HR3JkbnhzRVM0UDFPM2dEQU5MR2xmbG41NjFBYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJs7qz9jUz4tAFQIoAkMzLBdATBmZmZmZmhgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=8c1ae5f725&ccb=9-4&oh=00_AfdWEal00m8Sbdr5cTwGWIrD2GabtQq_b1ERR0LketKI1g&oe=69013BEC&_nc_sid=10d13b,Instagram,3248574,11901,2024-10-16T21:25:00.000Z,,,,,,,,
KYD’s Trash or Gold Episode 33,kydyuzhini,37394166,https://www.instagram.com/p/DA1oN_KR2DP/,https://scontent-iad3-2.cdninstagram.com/o1/v/t16/f2/m86/AQNgrifmmfnfZMLUtFhKmeIFFLbQDdgctJrjdKK4xy-Ku0QmaPuUX9hjMq7P75o2WGA4gSM2qwatwVkQIyYE9ES03cH0-LBHGhdA69E.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=103&vs=3379837248985983_3043153624&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC83NDQwMTU5QUZEODJBRkE0MDBENTdFNzQxRDQwN0I4Rl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRS1ZaXhzRldpMHlMYzREQU9iTTBkbFQ3NUlyYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJvqqj5HdnNE%2FFQIoAkMzLBdATHdsi0OVgRgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=28c03f3d0c&ccb=9-4&oh=00_AfeWAaZAOfJAriwACI4Z8P1Hu7L_8xmuS3caz5DqVq3vmw&oe=690151BA&_nc_sid=10d13b,Instagram,1635633,5779,2024-10-07T21:25:00.000Z,,,,,,,,
KYD’s Trash or Gold Episode 5,kydyuzhini,36783326,https://www.instagram.com/p/C_j82taRxRK/,https://scontent-mia3-1.cdninstagram.com/o1/v/t16/f2/m86/AQMGZY2-XlYLq8j0aieb3PMXo7I6IvDrR_2GDfzVmDN_6vVe5SrOjp-zxbJXPm-F9flouoWdtMWXRSiWDMuBo7fogC2Aw-k1WqgNyHA.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=106&vs=1602709063649950_2402525784&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC81ODQ2ODQyMEJFMzdBRTI4NEMwOUU5QjI1QjYxNDVBRF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSlZkVWh0UnpUWUh4SDBFQUVNbWZCNFRSQjBrYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJsLqgJ%2FmiYFAFQIoAkMzLBdASyIMSbpeNRgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=fe4d0ae014&ccb=9-4&oh=00_AffYe1avZaqmGjgJK2TDPK-wXGC_vBywRUamS6qB2Jjgrw&oe=69012C2D&_nc_sid=10d13b,Instagram,1567899,4356,2024-09-06T04:12:28.000Z,,,,,,,,
KYD’s Trash or Gold Episode 164,kydyuzhini,36444069,https://www.instagram.com/p/DIyw9fxxFmo/,https://scontent-mia3-3.cdninstagram.com/o1/v/t16/f2/m86/AQP-BqE98iSKGSV_Gxg6O9Dr5pVsY2_Y1jK8eD9QL76LqtSTo8EfCCdJtDdTXGj2eeT7xofvxhWlbPMEQOJt-2PHcm0Dr-V-S_pTygE.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=108&vs=2102909513869563_1264848455&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8xNDRGMzQxODNBODVFNUFCRDY2NjJENzBCMDQ5M0VBM192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRGdVU2gzQVp5TkVMb01DQVBSY2NGVEVLNmcxYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJojpqqzHsZRAFQIoAkMzLBdAQzMzMzMzMxgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=a7e7f3cb02&ccb=9-4&oh=00_AffqCiB3T9oi_YlTgbKzRAZRj7qe1B4oXHc2LE6z8RNFfA&oe=69014CA6&_nc_sid=10d13b,Instagram,2446059,3392,2025-04-23T14:55:00.000Z,,,,,,,,
KYD’s Trash or Gold Episode 27,kydyuzhini,35281784,https://www.instagram.com/p/DAb4ReZxx7R/,https://scontent-atl3-3.cdninstagram.com/o1/v/t16/f2/m86/AQPZDOZLD9gTNrQV3XwIKPuTwAQkRRT6GoTpWeIV2cOk28R79zE6z62ryFLsE4MWx76MkCQNB8krLV4P5Yek8H_Y0FjkXzHwis-MPtg.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=107&vs=1892076114594899_2579467345&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC81NTRBNDYyQjE0OUJCNkUzMzA0RDE5MkNEQzQ3MDVCM192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HUDZNZkJzWTMwdTRjUWtFQUVwbWxoSTZLLUFVYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJqbotImm9b0%2FFQIoAkMzLBdAS27ZFocrAhgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=495314a132&ccb=9-4&oh=00_AfcgctIlCXPVxPUvH2Pv-RVWFKxeaNOvfh6K-cb7X9p7OA&oe=69012D66&_nc_sid=10d13b,Instagram,2096520,8952,2024-09-27T21:25:00.000Z,,,,,,,,
